seed,gain,n,acc,slope,w0,w1,w2,w3,w4,w5,w6,w7
42,0.8,2000,0.851,0.04423764613217156,0.02443348443681902,0.037903665706232555,0.039423653838932225,0.03836600788518626,0.10532302064224557,0.17801235674249807,0.22098640059231844,0.3555514100374226
42,1.0,2000,0.869,0.007770339476562445,0.10356988994160438,0.11095884854606254,0.11208256296520526,0.09560505970140899,0.12380995285608494,0.1515249438101066,0.16559062097370184,0.13685812111355705
42,1.2,2000,0.8645,-0.021519072578416953,0.2519165038745451,0.15614820397055013,0.13291856414819617,0.11183084761451165,0.10037884324363085,0.10133213661237785,0.0877792828427199,0.057695617593182556
43,0.8,2000,0.8665,0.027983659131128557,0.06711605799861714,0.04995556799179631,0.0721296623495616,0.09040147513049533,0.09987380300253083,0.15940197594911218,0.21446092900211394,0.24666052846897768
43,1.0,2000,0.8775,-0.009892053581653572,0.19698522316053751,0.1562152077903443,0.11208114867636848,0.09444694792736637,0.1077334300898761,0.09629455253075966,0.1452955107357795,0.09094797897314323
43,1.2,2000,0.8395,-0.03839010823842208,0.39015123666888313,0.17633620237606473,0.12588555263704557,0.06676547232855379,0.09416211902964307,0.04930986871215908,0.04571292755303476,0.05167662054906356
44,0.8,2000,0.8585,0.029735889792257983,0.04756087780074035,0.05002894654545727,0.0914353686613739,0.09709752917515008,0.10192062263582767,0.14234631054638774,0.18197135538467812,0.28763898912043284
44,1.0,2000,0.883,0.002593824700322136,0.1284639195280603,0.10795648337641757,0.12455123893351625,0.12959572768715313,0.10472254619236367,0.12675925136458532,0.13524777855302852,0.14270305426314403
44,1.2,2000,0.867,-0.020358801104908397,0.24174982205025605,0.17018122405792946,0.13367315790761333,0.1032239984092887,0.09283392637300818,0.09781330089905066,0.08634338323923796,0.0741811869564159
45,0.8,2000,0.867,0.03291495030063307,0.034345330509496536,0.0470387828028151,0.06760355132713733,0.08045080266222364,0.13702740804965058,0.15688939198439228,0.21024010116331424,0.2664046313797095
45,1.0,2000,0.877,-0.007589511769071717,0.17348709661738743,0.13748314638143352,0.13528899960869886,0.09670926972732331,0.11521816484471448,0.1199936614117419,0.13052704500963638,0.09129261629316462
45,1.2,2000,0.851,-0.0336293270495565,0.3468953303124493,0.17234622273349312,0.13237834378361132,0.0837478469217674,0.07874797006876945,0.06569503055941495,0.08557000906028706,0.03461924641657343
46,0.8,2000,0.851,0.040897443639299494,0.03185961891354444,0.05075872438971468,0.060862899181375094,0.049099107522882025,0.07761235652175058,0.14369873285318294,0.23379222666745697,0.3523163338132808
46,1.0,2000,0.875,-0.004161971843811049,0.11627403119867584,0.15393125241891162,0.14713547217835815,0.1275342337293962,0.12004692269810628,0.10420612681743824,0.12292976660937704,0.10794219423890357
46,1.2,2000,0.851,-0.03746247462210116,0.3367452657924393,0.19244440444954375,0.1472330658240477,0.09784441079748311,0.07872310822434503,0.06576230059228579,0.06630374827271641,0.014943695920448186
47,0.8,2000,0.8765,0.03016768820109979,0.06458485598915652,0.057177879317460135,0.07375676462751882,0.06933732107643115,0.10325407177267376,0.14398886755186688,0.19392276946761622,0.2939774700852016
