coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3633,0.5,0.443,0.001,0.0,30.0,57.0,92.0,139.0,246.3,34.596,59.687,91.6,141.027,250.767,90.0,97.022
0.03,7240,0.649,0.604,0.001,0.001,31.0,57.0,89.0,138.0,246.0,35.532,59.197,91.038,139.643,246.529,89.0,97.604
0.06,7189,0.754,0.749,0.001,0.0,30.0,55.0,86.0,132.0,232.0,34.556,57.371,85.335,129.54,224.333,82.0,90.675
0.09,7395,0.847,0.852,0.0,0.0,28.0,50.0,78.0,117.0,204.0,32.912,52.702,77.754,116.571,199.388,80.5,84.056
0.12,7231,0.904,0.921,0.0,0.0,27.0,46.0,68.0,103.0,172.0,30.641,47.573,68.556,99.942,166.69,67.0,71.906
0.15,7300,0.943,0.961,0.0,0.0,24.0,41.0,60.0,88.0,149.0,29.237,43.792,61.267,87.04,141.919,63.0,61.863
