coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3034,0.499,0.424,0.166,0.099,91.0,155.6,236.0,363.4,564.0,130.073,183.305,253.449,362.51,552.499,227.0,317.031
0.03,6116,0.727,0.708,0.156,0.093,83.0,144.0,222.0,335.2,548.0,130.81,185.336,255.057,358.619,547.376,232.0,312.184
0.06,6412,0.869,0.893,0.109,0.046,77.0,138.0,211.0,310.0,506.8,126.43,172.288,232.617,323.469,506.207,201.0,291.542
0.09,6834,0.946,0.969,0.076,0.011,70.0,121.0,177.0,257.0,429.0,121.064,157.528,202.742,272.81,423.922,165.0,239.597
0.12,6765,0.979,0.992,0.064,0.001,65.0,103.0,149.0,212.0,359.0,114.071,142.517,175.821,224.439,327.248,126.5,215.872
0.15,6817,0.991,0.998,0.066,0.0,56.0,89.0,121.0,171.0,280.0,109.58,131.92,156.944,192.406,266.589,129.5,189.227
