coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3611,0.492,0.506,0.007,0.007,40.0,81.0,126.0,192.0,353.4,44.889,83.355,131.815,200.716,344.142,120.0,127.634
0.03,7187,0.666,0.661,0.008,0.005,39.0,74.0,121.0,191.0,339.2,43.301,80.805,125.497,192.759,339.69,124.0,121.953
0.06,7165,0.789,0.791,0.004,0.002,38.0,71.0,115.0,181.0,315.5,41.384,74.083,113.336,174.239,308.492,108.0,111.023
0.09,7388,0.881,0.879,0.001,0.001,35.0,65.0,102.0,151.0,265.0,39.735,67.821,102.757,154.373,270.658,100.0,98.513
0.12,7230,0.935,0.931,0.0,0.0,32.0,58.0,87.0,130.0,223.0,35.557,60.187,90.005,132.951,225.752,81.0,81.499
0.15,7300,0.966,0.962,0.0,0.0,29.0,50.0,74.0,108.0,181.0,32.592,53.942,78.628,114.795,190.421,62.5,76.157
