coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3323,0.485,0.46,0.086,0.053,56.0,120.0,191.0,307.0,512.2,67.436,114.697,180.46,278.016,476.527,194.0,232.903
0.03,6702,0.696,0.665,0.075,0.048,56.0,114.0,190.0,298.0,504.0,68.613,117.437,186.016,289.591,485.326,200.0,238.821
0.06,6870,0.839,0.831,0.045,0.03,53.0,107.0,178.0,280.0,478.0,66.822,112.793,171.473,264.787,450.549,167.0,219.484
0.09,7273,0.921,0.924,0.016,0.012,47.0,94.0,150.0,230.0,401.0,63.726,101.446,151.798,226.506,387.366,143.0,188.039
0.12,7177,0.963,0.971,0.007,0.003,44.0,80.0,126.0,190.0,337.0,59.705,89.93,127.171,187.087,315.227,96.0,160.519
0.15,7295,0.985,0.99,0.001,0.0,38.0,67.0,102.0,154.0,273.0,55.752,80.742,110.743,155.34,252.584,81.5,154.225
