coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3637,0.498,0.553,0.0,0.0,23.0,44.0,71.0,109.0,188.0,26.312,48.825,77.518,123.651,222.585,70.0,97.0
0.03,7244,0.629,0.61,0.0,0.001,23.0,43.7,69.0,109.0,197.0,25.91,49.154,78.024,124.467,225.475,73.0,97.145
0.06,7191,0.731,0.657,0.0,0.0,24.0,43.0,69.0,105.0,185.1,25.911,48.531,76.354,120.923,221.315,64.0,96.834
0.09,7395,0.818,0.707,0.0,0.0,22.0,41.0,63.0,97.0,166.2,25.407,48.184,76.683,120.911,215.901,63.0,93.635
0.12,7231,0.881,0.754,0.0,0.0,21.0,38.0,57.0,86.0,147.0,24.683,46.291,73.952,117.523,211.671,52.5,91.731
0.15,7300,0.927,0.792,0.0,0.0,20.0,34.0,51.0,75.0,128.0,24.257,44.535,71.242,111.668,202.76,47.0,89.416
