coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3000,0.497,0.447,0.175,0.074,98.0,151.0,216.0,314.6,528.0,119.544,174.341,241.852,342.775,527.832,212.0,289.598
0.03,5989,0.698,0.69,0.173,0.064,84.0,138.0,202.0,294.0,493.9,119.849,174.386,245.313,349.377,534.693,215.0,287.082
0.06,6133,0.838,0.861,0.147,0.037,79.8,133.0,193.0,279.0,478.0,114.871,161.974,220.95,312.034,492.24,206.5,266.262
0.09,6419,0.923,0.946,0.132,0.012,73.0,119.0,167.0,239.8,405.6,110.066,148.181,195.922,264.456,420.293,179.5,235.427
0.12,6350,0.967,0.983,0.122,0.002,69.0,105.0,146.0,206.0,347.0,103.827,134.529,170.284,223.179,339.856,161.5,212.089
0.15,6385,0.988,0.994,0.125,0.0,60.0,90.0,122.5,169.0,284.0,99.568,124.486,152.091,191.868,276.666,136.0,174.189
