coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3323,0.485,0.452,0.086,0.048,56.0,120.0,191.0,307.0,512.2,54.136,96.452,166.804,268.797,471.199,194.0,224.273
0.03,6702,0.696,0.652,0.075,0.049,56.0,114.0,190.0,298.0,504.0,55.601,99.687,168.173,274.724,476.129,200.0,226.97
0.06,6870,0.839,0.812,0.045,0.032,53.0,107.0,178.0,280.0,478.0,55.411,98.147,160.936,258.718,449.527,167.0,213.244
0.09,7273,0.921,0.912,0.016,0.014,47.0,94.0,150.0,230.0,401.0,52.996,88.794,140.537,221.691,391.657,143.0,190.32
0.12,7177,0.963,0.962,0.007,0.004,44.0,80.0,126.0,190.0,337.0,49.846,78.691,119.136,181.858,318.621,96.0,160.189
0.15,7295,0.985,0.985,0.001,0.001,38.0,67.0,102.0,154.0,273.0,47.75,71.614,102.994,151.15,258.333,81.5,142.012
