coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3633,0.5,0.514,0.001,0.001,30.0,57.0,92.0,139.0,246.3,34.942,61.972,94.479,144.155,246.13,90.0,89.709
0.03,7240,0.649,0.643,0.001,0.001,31.0,57.0,89.0,138.0,246.0,33.864,59.669,91.899,138.414,242.226,89.0,86.543
0.06,7189,0.754,0.755,0.001,0.0,30.0,55.0,86.0,132.0,232.0,33.014,57.291,86.991,129.818,223.798,82.0,82.113
0.09,7395,0.847,0.837,0.0,0.0,28.0,50.0,78.0,117.0,204.0,31.829,53.448,79.038,118.839,199.338,80.5,74.524
0.12,7231,0.904,0.901,0.0,0.0,27.0,46.0,68.0,103.0,172.0,29.307,49.232,72.344,104.963,174.867,67.0,65.892
0.15,7300,0.943,0.937,0.0,0.0,24.0,41.0,60.0,88.0,149.0,27.735,44.764,64.399,92.982,153.865,63.0,58.934
