coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3323,0.485,0.516,0.086,0.037,56.0,120.0,191.0,307.0,512.2,84.183,126.511,189.747,282.345,466.529,194.0,231.892
0.03,6702,0.696,0.707,0.075,0.031,56.0,114.0,190.0,298.0,504.0,83.784,125.839,186.423,280.277,465.718,200.0,229.347
0.06,6870,0.839,0.843,0.045,0.02,53.0,107.0,178.0,280.0,478.0,81.559,118.586,170.841,253.702,423.627,167.0,211.01
0.09,7273,0.921,0.928,0.016,0.007,47.0,94.0,150.0,230.0,401.0,78.749,111.655,153.988,220.395,361.482,143.0,182.044
0.12,7177,0.963,0.965,0.007,0.001,44.0,80.0,126.0,190.0,337.0,75.113,101.883,135.428,188.795,300.325,96.0,163.601
0.15,7295,0.985,0.987,0.001,0.0,38.0,67.0,102.0,154.0,273.0,72.226,94.728,121.337,162.124,251.139,81.5,135.605
