box,gain,bound,k,loss,g,g_native,a,a_native,v_max,z,t,t_native_ms,edge,loss_gneg,loss_g0,loss_gpos,minutes
v10_g10_a0.05,0.8,1.5,1.0,1.7811452557545135,5.887619027648864,5.887619027648864,0.39169535042181913,0.39169535042181913,3.984533967754231,0.5853466160690199,0.04416733720898544,44.167337208985444,-,19.492560576270844,6.869547689031134,3.4419716609943114,2.3716628750165305
v10_g10_a0.05,1.0,1.5,1.0,0.131369699591268,4.363344597202652,4.363344597202652,0.3546994430869105,0.3546994430869105,4.013708225297993,0.4976217859082755,0.0028312621572164154,2.8312621572164156,t,15.737269766235547,1.8455353447844405,7.53810536263574,1.6884843667348226
v10_g10_a0.05,1.2,1.5,1.0,0.14351927499602893,9.284978206005452,9.284978206005452,0.27760507802962253,0.27760507802962253,4.163767486322849,0.4822099824466998,0.006330691266252947,6.330691266252947,t,13.18463235740326,4.595966207318748,0.3838971961706079,1.551041046778361
v10_g10_a0.05,0.8,2.0,1.0,1.7137061150847412,8.301604757454356,8.301604757454356,0.48885078890760014,0.48885078890760014,4.406159399439378,0.4402410265570905,0.032705980649786706,32.7059806497867,-,52.06917510730469,22.001036588202847,4.1493050301807575,3.460615678628286
v10_g10_a0.05,1.0,2.0,1.0,0.9690547485944416,3.1715615001892354,3.1715615001892354,0.42840885728143674,0.42840885728143674,4.3860157349028865,0.5792838682391714,0.017051098340726982,17.05109834072698,t,19.04266252810871,3.045943334685747,14.470190816899368,1.83422665198644
v10_g10_a0.05,1.2,2.0,1.0,0.6201990011354994,8.58418670321258,8.58418670321258,0.310021092903824,0.310021092903824,4.731995325567341,0.46005547425146553,0.019998419119367214,19.998419119367213,t,17.31534502955774,6.262173176239262,0.8159299340760616,1.8816848079363504
v10_g10_a0.05,1.0,2.5,1.0,5.687402160863744,1.8774231368786976,1.8774231368786976,0.5081451759223428,0.5081451759223428,4.69558019603291,0.5821086143501533,0.07337078804133118,73.37078804133118,-,20.313613013670025,7.800958226734103,42.53188065203857,2.3700774550437926
v10_g10_a0.05,1.2,2.5,1.0,2.196452661959217,5.213479161472271,5.213479161472271,0.3584113945298224,0.3584113945298224,4.3890587568984065,0.5741135232474261,0.03163454401045254,31.634544010452544,-,18.71211638525934,5.818443432503018,5.0064272612521385,2.001366392771403
v10_g10_a0.05,1.0,2.94,1.0,6.3362348224664045,9.658951197408317,9.658951197408317,0.5073781922853311,0.5073781922853311,2.2889182429623953,0.6508869675682167,0.02941670910488836,29.416709104888362,-,98.11725033219338,62.08058065836785,7.44179928307683,5.337130856513977
v10_g10_a0.05,1.2,2.94,1.0,10.317784830467188,0.5054348816030187,0.5054348816030187,0.519941146495023,0.519941146495023,4.138363472915038,0.5667001079562102,0.05938257909990574,59.38257909990574,-,24.271891717571016,11.407479312364838,59.24972369553008,2.3590668082237243
v2_g1_a0.3,0.8,1.25,1.0,7.293243456887714,-0.7757186833467746,-0.7757186833467746,0.40073291472774386,0.40073291472774386,1.9567313772175368,0.6384846644435506,0.0243093118924606,24.3093118924606,-,8.016849722232015,8.097271755234603,8.211048314605494,2.1338592529296876
v2_g1_a0.3,0.8,1.25,2.0,3.5876549931150747,-0.718317272189611,-1.436634544379222,0.5914245972264129,0.41820034325931915,1.9267045762036048,0.5695757868097959,0.059853879530886445,29.926939765443223,-,5.117177575975395,4.487950407900202,6.254668651869672,3.334660732746124
v2_g1_a0.3,0.8,1.25,4.0,0.8230594919254949,0.8580551513771426,3.4322206055085704,0.7852381891912892,0.3926190945956446,1.9847668132383978,0.5426716844512128,0.06478902459981606,16.197256149954015,v_max,7.695708616165111,2.6324568798013805,1.145576210970785,5.93645555973053
v2_g1_a0.3,0.8,1.25,6.0,1.3236001799123547,-0.8483123784050066,-5.089874270430039,1.380844416158462,0.5637273722932632,1.6704333676997218,0.4931894070524204,0.03692162050254183,6.153603417090305,-,2.397824288626838,13.637953356151142,68.4637879068895,8.524070735772451
v2_g1_a0.3,0.8,1.25,8.0,0.7627150763407687,0.3784884238810706,3.027907391048565,1.153894428344409,0.40796328752785316,1.4408118508696144,0.46188547745812014,0.009041592206043926,1.1301990257554908,t,16.97348033917161,3.3785288174221146,4.827448032166792,11.06706460316976
v2_g1_a0.3,1.0,1.25,1.0,10.740510651134024,-0.735711790394985,-0.735711790394985,0.3008390463646549,0.3008390463646549,1.3973464839790066,0.6379941482447385,0.02754678297560065,27.54678297560065,a,11.099407682433203,11.668386573480614,12.278796093550929,1.5858178337415059
v2_g1_a0.3,1.0,1.25,2.0,3.3010523747549874,-0.2338471744322573,-0.4676943488645146,0.45808769736452587,0.32391691718458715,1.9484747383759435,0.5397288648106318,0.035423724495520954,17.71186224776048,-,4.091708360242781,3.4240833445819585,4.244496791513666,2.31476362546285
v2_g1_a0.3,1.0,1.25,4.0,0.4866526670135473,0.9801085181895699,3.9204340727582796,0.6389226325369075,0.31946131626845375,1.8384193458525924,0.5514677677607489,0.01312897504777685,3.2822437619442124,"g,t",5.084758086788761,1.8763507845279161,0.7046680041528429,4.336339704195658
v2_g1_a0.3,1.0,1.25,6.0,0.6949104352253415,0.7120096207462997,4.272057724477798,0.7652216090969262,0.3124004137398266,1.8804294946297784,0.511223745490978,0.06754699186289606,11.257831977149344,-,6.851221434750351,2.49851064998545,1.0106873204499072,5.522657378514608
v2_g1_a0.3,1.0,1.25,8.0,1.1639937865054661,-0.007673626409731474,-0.06138901127785179,0.9613636794460695,0.339893388461383,1.4357051699767218,0.5689408857421051,0.08515573448367678,10.644466810459598,-,5.8183503477300444,1.7757402015441435,11.023970605732007,7.117000675201416
v2_g1_a0.3,1.2,1.25,1.0,15.088182568084267,0.5219000015599216,0.5219000015599216,0.3173628150154917,0.3173628150154917,1.6153818919860672,0.558169854340721,0.0012591579011408962,1.2591579011408962,"a,t",13.133981765252972,15.224266531275527,17.377600987761866,1.5943919579188028
v2_g1_a0.3,1.2,1.25,2.0,3.534396723990903,-0.26971358194023665,-0.5394271638804733,0.4076897684984307,0.28828019992561404,1.6833746773168503,0.5225318543042639,0.002097439528932635,1.0487197644663175,t,4.376692669128386,4.50451855461125,4.216036299495461,1.9349583625793456
v2_g1_a0.3,1.2,1.25,4.0,0.6069628300169048,-0.26360876835913605,-1.0544350734365442,0.5966175858164107,0.29830879290820533,1.864709507641664,0.4715532479881528,0.00599405703817644,1.49851425954411,t,1.5108163079650934,0.722840603898049,2.4313092677945156,3.709005955855052
v2_g1_a0.3,1.2,1.25,6.0,0.4514793457160792,0.7095527849057683,4.25731670943461,0.667510034478288,0.2725098304432354,1.6759858611456981,0.5456408113965434,0.049503307975654665,8.250551329275776,-,3.900627442811869,1.2652688224769428,0.8796979026441558,4.958465015888214
v2_g1_a0.3,1.2,1.25,8.0,0.5663352643637386,0.6989325006105,5.591460004884,0.7652258498711424,0.27054819379156186,1.6202973278455786,0.5444422746707378,0.06510346938372513,8.13793367296564,-,6.057990675383315,2.0814174953579077,1.1151073433810073,5.604054411252339
v2_g1_a0.3,0.8,1.5,1.0,8.596305533080146,-0.2687386018878385,-0.2687386018878385,0.49729908404949774,0.49729908404949774,1.9678754717108253,0.514857457012858,0.003781228542191156,3.781228542191156,t,10.279622132404413,9.909011393709996,9.97335464642719,2.583846159776052
