coherence,n,acc_obs,acc_sim,omit_obs,omit_sim,qc10_obs,qc30_obs,qc50_obs,qc70_obs,qc90_obs,qc10_sim,qc30_sim,qc50_sim,qc70_sim,qc90_sim,qe50_obs,qe50_sim
0.0,3611,0.492,0.473,0.007,0.004,40.0,81.0,126.0,192.0,353.4,46.331,71.527,109.368,175.244,316.149,120.0,147.208
0.03,7187,0.666,0.63,0.008,0.005,39.0,74.0,121.0,191.0,339.2,47.029,74.597,114.587,178.822,315.4,124.0,149.845
0.06,7165,0.789,0.766,0.004,0.003,38.0,71.0,115.0,181.0,315.5,46.403,71.467,110.022,170.958,301.631,108.0,141.53
0.09,7388,0.881,0.868,0.001,0.001,35.0,65.0,102.0,151.0,265.0,45.304,68.12,101.212,153.35,264.488,100.0,134.3
0.12,7230,0.935,0.93,0.0,0.0,32.0,58.0,87.0,130.0,223.0,43.936,63.636,90.609,133.328,228.036,81.0,121.519
0.15,7300,0.966,0.966,0.0,0.0,29.0,50.0,74.0,108.0,181.0,42.466,59.051,81.713,117.24,196.179,62.5,109.247
